20:
x	y
0.565	270.892
0.565	268.779
0.568	268.779
0.570	268.779
0.571	268.779
0.572	268.779
0.576	268.779
0.579	268.779
0.581	268.779
0.582	268.779
0.584	268.779
0.586	268.779
0.589	268.779
0.600	266.666
0.601	266.666
0.603	266.666
0.604	266.666
0.609	266.666
0.611	266.666
0.612	266.666
0.614	266.666
0.616	266.666
0.617	266.666
0.619	266.666
0.620	266.666
0.622	266.666
0.625	266.666
0.628	266.666
0.630	266.666
0.633	266.666
0.636	266.666
0.638	266.666
0.641	266.666
0.644	266.666
0.645	266.666
0.649	266.666
0.650	266.666
0.656	266.666
0.659	264.553
0.661	262.440
0.663	262.440
0.664	262.440
0.666	262.440
0.668	262.440
0.669	262.440
0.671	262.440
0.673	262.440
0.675	262.440
0.676	262.440
0.678	262.440
0.681	262.440
0.683	262.440
0.686	262.440
0.688	262.440
0.689	262.440
0.691	262.440
0.693	262.440
0.697	262.440
0.698	262.440
0.700	262.440
0.701	262.440
0.704	262.440
0.706	262.440
0.709	262.440
0.712	262.440
0.715	262.440
0.716	262.440
0.720	262.440
0.721	262.440
0.723	262.440
0.725	262.440
0.726	262.440
0.728	262.440
0.731	262.440
0.733	262.440
0.734	261.031
0.738	261.031
0.739	261.031
0.741	261.031
0.742	261.031
0.744	261.031
0.747	261.031
0.749	261.031
0.750	261.031
0.752	261.031
0.755	261.031
0.759	261.031
0.761	261.031
0.763	261.031
0.766	261.031
0.769	261.031
0.771	261.031
0.773	261.031
0.775	261.031
0.779	261.031
0.780	261.031
0.783	261.031
0.785	261.031
0.787	261.031
0.791	261.031
0.792	261.031
0.797	261.031
0.801	261.031
0.803	261.031
0.805	261.031
0.808	261.031
0.812	261.031
0.815	261.031
0.818	261.031
0.821	259.005
0.823	259.005
0.826	259.005
0.828	259.005
0.831	259.005
0.833	259.005
0.834	259.005
0.836	259.005
0.837	259.005
0.839	259.005
0.841	259.005
0.844	259.005
0.845	259.005
0.850	259.005
0.853	259.005
0.856	259.005
0.859	259.005
0.860	259.005
0.862	259.005
0.865	259.005
0.869	259.005
0.873	259.005
0.875	259.005
0.876	259.005
0.877	259.005
0.877	256.892
0.880	256.892
0.882	256.892
0.883	256.892
0.885	256.892
0.887	256.892
